System,3wrobotNI
Controller,MPC
dt,0.1
state_init,[-3.          3.         -1.57318531]
Nactor,3
pred_step_size_multiplier,1.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[10, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,3.0,-1.5731853071795863,1014.7491201072573,101.47491201072575,-0.22000000000000003,-0.284
0.0011,-2.999999496783651,3.000199947292902,-1.5734434217629196,1014.8771841955448,202.96263043028023,-0.22000000000000003,-0.284
0.009628016036312423,-2.999992258427066,3.002076096399263,-1.5758653783172323,1016.0791412691962,304.57054455719987,-0.22000000000000003,-0.284
0.059628016036312424,-2.999858403288693,3.013075189526074,-1.5900653783172323,1023.1367932448079,406.88422388168067,-0.22000000000000003,-0.284
0.10962801603631242,-2.9995683797718424,3.024071273063862,-1.6042653783172323,1030.2114851469528,509.9053723963759,2.2,2.8399999999982075
