System,CarLike
Controller,N_CTRL
dt,0.1
state_init,[-4.   44.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-4.0,44.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,-4.00000015344779,43.99980005214173,1.5700583628145701,1,0.2,-0.22000000000000003,-0.284
0.0111,-4.000001070594496,43.9976000523707,1.5707005210035356,1,0.30000000000000004,-0.22000000000000003,-0.284
0.0611,-3.999984465121444,43.98660006962947,1.5739113119483632,1,0.4,-0.22000000000000003,-0.284
0.1111,-3.999932541149692,43.97560019690519,1.5771221028931908,1,0.5,-44.15713841511694,-8.334551974443038
0.16110000000000002,-4.000797958603334,43.87454451335434,1.546314637795347,1,0.6,-2.2,-2.84
